t (minutos),T (Â°C)
0.00,58.8029403687
0.05,58.706413269
0.10,58.6206130981
0.15,58.5240859985
0.20,58.4382858276
0.25,58.3310317993
0.30,58.2559585571
0.35,58.1594314575
0.40,58.0629043579
0.45,57.9878311157
0.50,57.9020309448
0.55,57.8162307739
0.60,57.7197036743
0.65,57.612449646
0.70,57.5266494751
0.75,57.4408493042
0.80,57.3443222046
0.85,57.2692489624
0.90,57.1727218628
0.95,57.1083755493
1.00,57.0118484497
1.05,56.9474945068
1.10,56.8616943359
1.15,56.775894165
1.20,56.6900939941
1.25,56.6042938232
1.30,56.5077667236
1.35,56.4434204102
1.40,56.3576126099
1.45,56.271812439
1.50,56.2074661255
1.55,56.1216659546
1.60,56.025138855
1.65,55.9393386841
1.70,55.8535385132
1.75,55.7891845703
1.80,55.7141113281
1.85,55.6175842285
1.90,55.5425109863
1.95,55.4888839722
2.00,55.3923568726
2.05,55.3172836304
2.10,55.2529296875
2.15,55.1671295166
2.20,55.0813293457
2.25,54.9955291748
2.30,54.9204559326
2.35,54.8561019897
2.40,54.7488479614
2.45,54.6952285767
2.50,54.6201477051
2.55,54.5236282349
2.60,54.4485473633
2.65,54.3734741211
2.70,54.2876739502
2.75,54.2125930786
2.80,54.1375198364
2.85,54.0731735229
2.90,53.9766464233
2.95,53.9122924805
3.00,53.8264923096
3.05,53.7406921387
3.10,53.6656188965
3.15,53.6012649536
3.20,53.504737854
3.25,53.4296646118
3.30,53.3760375977
3.35,53.3009643555
3.40,53.2366104126
3.45,53.1508102417
3.50,53.0971832275
3.55,53.0006637573
3.60,52.9255828857
3.65,52.8719558716
3.70,52.7861557007
3.75,52.7110824585
3.80,52.6574554443
3.85,52.5716552734
3.90,52.50730896
3.95,52.4322280884
4.00,52.3678817749
4.05,52.282081604
4.10,52.2284545898
4.15,52.1426544189
4.20,52.0675735474
4.25,51.9925003052
4.30,51.9281539917
4.35,51.8638000488
4.40,51.7779998779
4.45,51.7243728638
4.50,51.6707458496
4.55,51.5742263794
4.60,51.4991455078
4.65,51.4455184937
4.70,51.3597183228
4.75,51.306098938
4.80,51.2417449951
4.85,51.1773910522
4.90,51.0915908813
4.95,51.0165176392
5.00,50.962890625
5.05,50.8985443115
5.10,50.8341903687
5.15,50.7698440552
5.20,50.6947631836
5.25,50.6196899414
5.30,50.5338897705
5.35,50.5124359131
5.40,50.4266357422
5.45,50.3408355713
5.50,50.2872085571
5.55,50.2228622437
5.60,50.1692352295
5.65,50.1048812866
5.70,50.0405349731
5.75,49.9761810303
5.80,49.9011077881
5.85,49.8260345459
5.90,49.7831344604
5.95,49.6973342896
6.00,49.6651535034
6.05,49.5793533325
6.10,49.4935531616
6.15,49.4399261475
6.20,49.3648529053
6.25,49.3219528198
6.30,49.257598877
6.35,49.2039794922
6.40,49.1288986206
6.45,49.0538253784
6.50,48.9787521362
6.55,48.9251251221
6.60,48.8929519653
6.65,48.8285980225
6.70,48.7642440796
6.75,48.7106246948
6.80,48.646270752
6.85,48.5819168091
6.90,48.5175704956
6.95,48.4639434814
7.00,48.3888702393
7.05,48.3245162964
7.10,48.2816162109
7.15,48.2065429688
7.20,48.1529159546
7.25,48.1100158691
7.30,48.0242156982
7.35,47.9813156128
7.40,47.9169616699
7.45,47.8633422852
7.50,47.7882614136
7.55,47.7239151001
7.60,47.6810150146
7.65,47.6381149292
7.70,47.5415878296
7.75,47.4986877441
7.80,47.4236068726
7.85,47.3807067871
7.90,47.3378067017
7.95,47.2734603882
8.00,47.219833374
8.05,47.1340332031
8.10,47.1018600464
8.15,47.0267791748
8.20,46.9946060181
8.25,46.9409790039
8.30,46.8659057617
8.35,46.8230056763
8.40,46.7908325195
8.45,46.7157516479
8.50,46.6621246338
8.55,46.5977783203
8.60,46.5548782349
8.65,46.5119781494
8.70,46.4368972778
8.75,46.3832778931
8.80,46.3081970215
8.85,46.2760238647
8.90,46.2009506226
8.95,46.1473236084
9.00,46.0936965942
9.05,46.0507965088
9.10,45.9971694946
9.15,45.9328231812
9.20,45.8899230957
9.25,45.8255691528
9.30,45.7719421387
9.35,45.7290420532
9.40,45.653968811
9.45,45.6325149536
9.50,45.5574417114
9.55,45.5252685547
9.60,45.4501953125
9.65,45.4072952271
9.70,45.3536682129
9.75,45.3000411987
9.80,45.2464141846
9.85,45.1927871704
9.90,45.1606140137
9.95,45.0962600708
10.00,45.042640686
10.05,44.9997406006
10.10,44.9675598145
10.15,44.903213501
10.20,44.8495864868
10.25,44.7852325439
10.30,44.7316131592
10.35,44.6887130737
10.40,44.6350860596
10.45,44.5814590454
10.50,44.5278320313
10.55,44.4742050171
10.60,44.4313049316
10.65,44.3884048462
10.70,44.3347854614
10.75,44.3026046753
10.80,44.2382583618
10.85,44.1953582764
10.90,44.1417312622
10.95,44.088104248
11.00,44.0452041626
11.05,44.0023040771
11.10,43.9594039917
11.15,43.927230835
11.20,43.8521499634
11.25,43.8199768066
11.30,43.7663497925
11.35,43.723449707
11.40,43.6912765503
11.45,43.6054763794
11.50,43.5947494507
11.55,43.5518493652
11.60,43.4982223511
11.65,43.4553222656
11.70,43.4124221802
11.75,43.358795166
11.80,43.3266220093
11.85,43.2729949951
11.90,43.219367981
11.95,43.1871948242
12.00,43.1228485107
12.05,43.0906677246
12.10,43.0370483398
12.15,42.9941482544
12.20,42.9619674683
12.25,42.9190673828
12.30,42.8654403687
12.35,42.8225402832
12.40,42.8010940552
12.45,42.747467041
12.50,42.6938400269
12.55,42.6509399414
12.60,42.6187667847
12.65,42.5865936279
12.70,42.5436935425
12.75,42.4686126709
12.80,42.4471664429
12.85,42.3935394287
12.90,42.3506393433
12.95,42.3184661865
13.00,42.2755661011
13.05,42.2326660156
13.10,42.1790390015
13.15,42.157585144
13.20,42.0932388306
13.25,42.0503387451
13.30,42.0074386597
13.35,41.9538116455
13.40,41.9323577881
13.45,41.8787307739
13.50,41.8358306885
13.55,41.792930603
13.60,41.7500305176
13.65,41.7178573608
13.70,41.6642303467
13.75,41.6320571899
13.80,41.5677032471
13.85,41.5355300903
13.90,41.4926300049
13.95,41.4604568481
14.00,41.4175567627
14.05,41.3639297485
14.10,41.3210296631
14.15,41.2995758057
14.20,41.2674026489
14.25,41.2137756348
14.30,41.1708755493
14.35,41.1172561646
14.40,41.0958023071
14.45,41.042175293
14.50,41.0100021362
14.55,40.9671020508
14.60,40.9242019653
14.65,40.8920288086
14.70,40.8384017944
14.75,40.8062210083
14.80,40.7526016235
14.85,40.7204208374
14.90,40.677520752
14.95,40.6668014526
15.00,40.6131744385
15.05,40.5810012817
15.10,40.5488204956
15.15,40.4844741821
15.20,40.4630203247
15.25,40.430847168
15.30,40.4093933105
15.35,40.3557739258
15.40,40.3128738403
15.45,40.3021469116
15.50,40.2592468262
15.55,40.2377929688
15.60,40.1948928833
15.65,40.1627197266
15.70,40.1412658691
15.75,40.0769195557
15.80,40.0447463989
15.85,39.9911193848
15.90,39.9696655273
15.95,39.9374923706
16.00,39.8945922852
16.05,39.8838653564
16.10,39.8302383423
16.15,39.8087921143
16.20,39.7766189575
16.25,39.7337112427
16.30,39.7015380859
16.35,39.6693649292
16.40,39.6264648438
16.45,39.6050109863
16.50,39.5835647583
16.55,39.5621109009
16.60,39.5084915161
16.65,39.47631073
16.70,39.4441375732
16.75,39.3797836304
16.80,39.3690643311
16.85,39.3476104736
16.90,39.3047103882
16.95,39.2618103027
17.00,39.2403640747
17.05,39.2189102173
17.10,39.1867370605
17.15,39.1545562744
17.20,39.111656189
17.25,39.1009368896
17.30,39.0365829468
17.35,39.0151367188
17.40,38.9829559326
17.45,38.9615097046
17.50,38.9400558472
17.55,38.8971557617
17.60,38.864982605
17.65,38.8435287476
17.70,38.7899093628
17.75,38.7791824341
17.80,38.7362823486
17.85,38.7148284912
17.90,38.6612014771
17.95,38.6719284058
18.00,38.639755249
18.05,38.5968551636
18.10,38.5646820068
18.15,38.5325012207
18.20,38.4788818359
18.25,38.4681549072
18.30,38.4359817505
18.35,38.3930740356
18.40,38.3823547363
18.45,38.3501739502
18.50,38.3287277222
18.55,38.2858276367
18.60,38.2429275513
18.65,38.2214736938
18.70,38.2000274658
18.75,38.1785736084
18.80,38.1464004517
18.85,38.1142272949
18.90,38.0927734375
18.95,38.0498733521
19.00,38.028427124
19.05,37.9962463379
19.10,37.9640731812
19.15,37.9426269531
19.20,37.8997268677
19.25,37.8782730103
19.30,37.8460998535
19.35,37.8353729248
19.40,37.7924728394
19.45,37.7710189819
19.50,37.7495727539
19.55,37.6959457397
19.60,37.685218811
19.65,37.6530456543
19.70,37.6315994263
19.75,37.5886917114
19.80,37.5672454834
19.85,37.5350723267
19.90,37.5243453979
19.95,37.4921722412
20.00,37.4599914551
